feature_index,feature,feature_class
155,guide_pos_9_G,spacer_position_one_hot
156,guide_pos_9_T,spacer_position_one_hot
157,guide_pos_10_A,spacer_position_one_hot
158,guide_pos_10_C,spacer_position_one_hot
159,guide_pos_10_G,spacer_position_one_hot
160,guide_pos_10_T,spacer_position_one_hot
161,guide_pos_11_A,spacer_position_one_hot
162,guide_pos_11_C,spacer_position_one_hot
163,guide_pos_11_G,spacer_position_one_hot
164,guide_pos_11_T,spacer_position_one_hot
165,guide_pos_12_A,spacer_position_one_hot
166,guide_pos_12_C,spacer_position_one_hot
167,guide_pos_12_G,spacer_position_one_hot
168,guide_pos_12_T,spacer_position_one_hot
169,guide_pos_13_A,spacer_position_one_hot
170,guide_pos_13_C,spacer_position_one_hot
171,guide_pos_13_G,spacer_position_one_hot
172,guide_pos_13_T,spacer_position_one_hot
173,guide_pos_14_A,spacer_position_one_hot
174,guide_pos_14_C,spacer_position_one_hot
175,guide_pos_14_G,spacer_position_one_hot
176,guide_pos_14_T,spacer_position_one_hot
177,guide_pos_15_A,spacer_position_one_hot
178,guide_pos_15_C,spacer_position_one_hot
179,guide_pos_15_G,spacer_position_one_hot
180,guide_pos_15_T,spacer_position_one_hot
181,guide_pos_16_A,spacer_position_one_hot
182,guide_pos_16_C,spacer_position_one_hot
183,guide_pos_16_G,spacer_position_one_hot
184,guide_pos_16_T,spacer_position_one_hot
185,guide_pos_17_A,spacer_position_one_hot
186,guide_pos_17_C,spacer_position_one_hot
187,guide_pos_17_G,spacer_position_one_hot
188,guide_pos_17_T,spacer_position_one_hot
189,guide_pos_18_A,spacer_position_one_hot
190,guide_pos_18_C,spacer_position_one_hot
191,guide_pos_18_G,spacer_position_one_hot
192,guide_pos_18_T,spacer_position_one_hot
193,guide_pos_19_A,spacer_position_one_hot
194,guide_pos_19_C,spacer_position_one_hot
195,guide_pos_19_G,spacer_position_one_hot
196,guide_pos_19_T,spacer_position_one_hot
