seed,n_pairs,single_head_spearman,cnn_d_head_spearman,delta_spearman,single_mean_rank_disagreement,cnn_d_mean_rank_disagreement,rank_disagreement_reduction,pairs_reduced_disagreement,pairs_unchanged_disagreement,pairs_increased_disagreement,loo_delta_spearman_min,loo_delta_spearman_max
42,41,0.755574912892,0.892857142857,0.137282229965,0.158536585366,0.0865853658537,0.0719512195122,31,2,8,0.115196998124,0.150469043152
43,41,0.681707317073,0.947038327526,0.265331010453,0.175609756098,0.0670731707317,0.108536585366,32,4,5,0.217260787992,0.28574108818
44,41,0.682229965157,0.947212543554,0.264982578397,0.178048780488,0.0634146341463,0.114634146341,30,7,4,0.235459662289,0.285365853659
45,41,0.738153310105,0.948606271777,0.210452961672,0.156097560976,0.0682926829268,0.0878048780488,29,2,10,0.166416510319,0.228330206379
46,41,0.742682926829,0.942857142857,0.200174216028,0.156097560976,0.0707317073171,0.0853658536585,30,2,9,0.167542213884,0.22138836773
