domain,stratifier,stratum,model,n,prediction_observation_n,mean_residual,mae,rmse,spearman
deepspcas9,pam,CGG,xgboost,225,1125,0.0136798700602,0.130532153656,0.16692205088,0.675939738727
deepspcas9,pam,GGG,single_cnn,133,665,-0.0124551663613,0.148978526772,0.1829402857,0.467933402026
deepspcas9,pam,GGG,cnn_d,133,665,-0.0197207617472,0.143524043784,0.178118728182,0.517627855256
deepspcas9,pam,GGG,random_forest,133,665,-0.0450115326944,0.155675541917,0.183400936005,0.57667540629
deepspcas9,pam,GGG,xgboost,133,665,-0.0332548819318,0.131719196893,0.159926939864,0.646708358413
deepspcas9,pam,TGG,single_cnn,623,3115,0.0135215777805,0.127283212303,0.159329482215,0.686316440162
deepspcas9,pam,TGG,cnn_d,623,3115,0.00931725431364,0.125978020114,0.156454534951,0.69998246181
deepspcas9,pam,TGG,random_forest,623,3115,0.015294591024,0.14638046151,0.174977352396,0.649885053889
deepspcas9,pam,TGG,xgboost,623,3115,0.0101386139161,0.120909360539,0.152802386717,0.717374301698
deepspcas9,sequence_complexity,high,single_cnn,508,2540,0.00925758788781,0.132542630057,0.164107299229,0.644672867374
deepspcas9,sequence_complexity,high,cnn_d,508,2540,5.469662407e-06,0.130828972963,0.161972209077,0.659000846433
deepspcas9,sequence_complexity,high,random_forest,508,2540,0.00140116883212,0.148787407532,0.178950428856,0.644752210754
deepspcas9,sequence_complexity,high,xgboost,508,2540,-0.00184906439122,0.119149236182,0.151256550545,0.722970411821
deepspcas9,sequence_complexity,low,single_cnn,509,2545,0.0113852111848,0.132915559274,0.1701441714,0.653857703532
deepspcas9,sequence_complexity,low,cnn_d,509,2545,0.00244528715083,0.132175714939,0.16839276787,0.66878684831
deepspcas9,sequence_complexity,low,random_forest,509,2545,0.00987426024361,0.145191155622,0.176002745247,0.664784358618
deepspcas9,sequence_complexity,low,xgboost,509,2545,0.0102232863042,0.127366866355,0.161246055884,0.702395418821
deepspcas9,sequence_complexity,middle,single_cnn,509,2545,-0.00072047625481,0.136886443212,0.1727166538,0.590892895004
deepspcas9,sequence_complexity,middle,cnn_d,509,2545,-0.00764607425835,0.13393077743,0.167579548663,0.616945558911
deepspcas9,sequence_complexity,middle,random_forest,509,2545,-0.0078539235713,0.145123795565,0.174996856533,0.623707002532
deepspcas9,sequence_complexity,middle,xgboost,509,2545,-0.00239623392324,0.121787407821,0.152332753523,0.703889598164
crispron_xiang_luo,activity,Q1,single_cnn,390,1950,13.8962324173,14.7173904773,18.1198563303,0.268279131962
crispron_xiang_luo,activity,Q1,cnn_d,390,1950,13.3767131503,14.2562076227,17.6135356372,0.27851631048
crispron_xiang_luo,activity,Q1,random_forest,390,1950,17.5016543736,17.5502007716,19.6126499333,0.278707198297
crispron_xiang_luo,activity,Q1,xgboost,390,1950,12.0362470205,12.8655936939,16.5614713487,0.334813206176
crispron_xiang_luo,activity,Q2,single_cnn,390,1950,6.35353170464,10.3587998367,13.5842359943,0.218708017602
crispron_xiang_luo,activity,Q2,cnn_d,390,1950,6.1978167844,9.98402182883,13.1112602588,0.20497667764
crispron_xiang_luo,activity,Q2,random_forest,390,1950,7.26018986886,9.20295490519,11.4742497329,0.223315300207
crispron_xiang_luo,activity,Q2,xgboost,390,1950,5.62564199493,9.16672174548,11.979737514,0.236864855734
crispron_xiang_luo,activity,Q3,single_cnn,390,1950,-5.08270278569,11.7826491221,14.2108233071,0.146803635486
crispron_xiang_luo,activity,Q3,cnn_d,390,1950,-5.46824337426,11.4029211936,13.8057785732,0.130155976345
crispron_xiang_luo,activity,Q3,random_forest,390,1950,-6.48277925839,9.18413461189,11.1039631288,0.185613337872
crispron_xiang_luo,activity,Q3,xgboost,390,1950,-4.51606379025,9.16492153288,11.3366010025,0.257506876847
crispron_xiang_luo,activity,Q4,single_cnn,389,1945,-17.7063708221,18.3407117128,21.8001304586,0.302330993682
crispron_xiang_luo,activity,Q4,cnn_d,389,1945,-18.9747244436,19.3171763932,22.3972566848,0.315552311892
crispron_xiang_luo,activity,Q4,random_forest,389,1945,-23.3127915579,23.3244119779,25.2982622274,0.27333715234
crispron_xiang_luo,activity,Q4,xgboost,389,1945,-17.0210368739,17.4328910618,20.4335608287,0.323577403171
crispron_xiang_luo,spacer_gc,high_gt_0.60,single_cnn,616,3080,-0.587037425275,14.9003510713,18.5527894953,0.612285651653
crispron_xiang_luo,spacer_gc,high_gt_0.60,cnn_d,616,3080,-1.53384015906,15.157543655,18.6949722283,0.607086626462
crispron_xiang_luo,spacer_gc,high_gt_0.60,random_forest,616,3080,-0.990660202209,15.8094340881,18.8335036751,0.639431655825
crispron_xiang_luo,spacer_gc,high_gt_0.60,xgboost,616,3080,-1.24313177937,13.3938331231,16.7448326339,0.69850184997
crispron_xiang_luo,spacer_gc,low_lt_0.40,single_cnn,75,375,4.26721093213,10.2716002279,12.5779281985,0.656096728307
crispron_xiang_luo,spacer_gc,low_lt_0.40,cnn_d,75,375,3.24271706108,9.59835225401,12.3139150325,0.695977240398
crispron_xiang_luo,spacer_gc,low_lt_0.40,random_forest,75,375,5.27295621481,10.5112392719,12.7218223319,0.668199146515
crispron_xiang_luo,spacer_gc,low_lt_0.40,xgboost,75,375,2.40319127333,7.99076551085,11.6598089411,0.730896159317
crispron_xiang_luo,spacer_gc,mid_0.40_to_0.60,single_cnn,868,4340,-1.07263835783,13.3185460361,16.6293832707,0.691555130403
crispron_xiang_luo,spacer_gc,mid_0.40_to_0.60,cnn_d,868,4340,-1.35722844655,13.0855841682,16.3319702751,0.704763136621
crispron_xiang_luo,spacer_gc,mid_0.40_to_0.60,random_forest,868,4340,-1.98740276933,14.4721026824,17.5642018619,0.683920434143
crispron_xiang_luo,spacer_gc,mid_0.40_to_0.60,xgboost,868,4340,-1.04698349715,11.6341110888,14.8946355957,0.77204882997
crispron_xiang_luo,full_gc,high_gt_0.60,single_cnn,712,3560,-1.04189377571,14.9079200647,18.4546116299,0.602755984334
crispron_xiang_luo,full_gc,high_gt_0.60,cnn_d,712,3560,-1.65770846207,14.9667187228,18.4126599738,0.606786814474
crispron_xiang_luo,full_gc,high_gt_0.60,random_forest,712,3560,-1.63661166792,15.667022457,18.7857336413,0.627611275225
crispron_xiang_luo,full_gc,high_gt_0.60,xgboost,712,3560,-1.8150243438,13.2120075207,16.5851409568,0.702157492741
crispron_xiang_luo,full_gc,low_lt_0.40,single_cnn,31,155,1.09007595612,7.70979480748,9.62067934706,0.657661290323
crispron_xiang_luo,full_gc,low_lt_0.40,cnn_d,31,155,0.149865933656,6.78757691304,8.93121962184,0.740564516129
crispron_xiang_luo,full_gc,low_lt_0.40,random_forest,31,155,3.08007719473,8.66828047552,10.3856550667,0.54064516129
crispron_xiang_luo,full_gc,low_lt_0.40,xgboost,31,155,1.91371934422,7.30731790373,10.3317651817,0.624193548387
crispron_xiang_luo,full_gc,mid_0.40_to_0.60,single_cnn,816,4080,-0.324250386019,13.0588744011,16.3675861801,0.711847774666
crispron_xiang_luo,full_gc,mid_0.40_to_0.60,cnn_d,816,4080,-0.86283513352,12.9270732275,16.2065450504,0.720454188268
crispron_xiang_luo,full_gc,mid_0.40_to_0.60,random_forest,816,4080,-1.06624443347,14.2954691028,17.2851914153,0.703111015603
crispron_xiang_luo,full_gc,mid_0.40_to_0.60,xgboost,816,4080,-0.320268962014,11.4152461183,14.6998326801,0.781888478635
crispron_xiang_luo,pam,AGG,single_cnn,384,1920,-0.541030890264,14.3168396318,17.7657271256,0.650913117561
crispron_xiang_luo,pam,AGG,cnn_d,384,1920,-1.02525595677,14.0405065309,17.3466022998,0.668643823539
crispron_xiang_luo,pam,AGG,random_forest,384,1920,-0.950389814324,15.2257976964,18.2064709112,0.642541961954
crispron_xiang_luo,pam,AGG,xgboost,384,1920,-0.49627607496,12.3377524914,15.8772380576,0.733590756502
crispron_xiang_luo,pam,CGG,single_cnn,251,1255,-2.03863709743,14.6570935806,18.1155232128,0.609609258205
crispron_xiang_luo,pam,CGG,cnn_d,251,1255,-2.05829830854,14.863472163,18.3467337758,0.594832555492
crispron_xiang_luo,pam,CGG,random_forest,251,1255,-0.823974986141,15.2138260109,18.1837633915,0.630491216088
crispron_xiang_luo,pam,CGG,xgboost,251,1255,-0.750334042105,12.8680936874,16.351461941,0.692733826598
crispron_xiang_luo,pam,GGG,single_cnn,389,1945,-1.45038903298,14.3439421672,17.8584392411,0.662260090637
crispron_xiang_luo,pam,GGG,cnn_d,389,1945,-1.74145526793,14.6327495201,18.0400343891,0.655255081759
crispron_xiang_luo,pam,GGG,random_forest,389,1945,-5.12493282342,15.721804597,19.0942213695,0.678471119954
crispron_xiang_luo,pam,GGG,xgboost,389,1945,-4.14598544224,12.8755931829,16.3327231675,0.755463591347
crispron_xiang_luo,pam,TGG,single_cnn,535,2675,0.581365941101,12.6226052822,15.9600819144,0.696285458145
crispron_xiang_luo,pam,TGG,cnn_d,535,2675,-0.545717360621,12.3379154849,15.6810858549,0.711197838383
crispron_xiang_luo,pam,TGG,random_forest,535,2675,1.16920692767,13.6590296067,16.5369021538,0.702645159167
crispron_xiang_luo,pam,TGG,xgboost,535,2675,0.929683529466,11.162846396,14.1950450762,0.774641911727
crispron_xiang_luo,sequence_complexity,high,single_cnn,519,2595,0.0702745780585,12.9881507395,16.4008037234,0.659334942514
crispron_xiang_luo,sequence_complexity,high,cnn_d,519,2595,-0.305021073475,12.6102178119,15.8913397117,0.684540258991
crispron_xiang_luo,sequence_complexity,high,random_forest,519,2595,-0.654477952456,13.990922976,17.0060999313,0.675279377707
crispron_xiang_luo,sequence_complexity,high,xgboost,519,2595,0.094656433915,11.292355589,14.6473937559,0.751201220276
crispron_xiang_luo,sequence_complexity,low,single_cnn,520,2600,-0.456027325443,14.1877585792,17.7804638404,0.647024849603
crispron_xiang_luo,sequence_complexity,low,cnn_d,520,2600,-1.48191677786,14.3525842457,17.8466422224,0.644411463743
crispron_xiang_luo,sequence_complexity,low,random_forest,520,2600,-0.855449752291,15.3421022844,18.5221424657,0.627844714947
crispron_xiang_luo,sequence_complexity,low,xgboost,520,2600,-1.19505418604,13.1513750513,16.6127489482,0.700780555914
crispron_xiang_luo,sequence_complexity,middle,single_cnn,520,2600,-1.48454351046,14.2134606565,17.5385118671,0.689563457079
crispron_xiang_luo,sequence_complexity,middle,cnn_d,520,2600,-1.82848728534,14.2445452239,17.6227632787,0.69007828602
crispron_xiang_luo,sequence_complexity,middle,random_forest,520,2600,-2.2217935456,15.0953024222,18.0766155573,0.71140683554
crispron_xiang_luo,sequence_complexity,middle,xgboost,520,2600,-1.77309618958,12.0170566632,15.2303678589,0.786468543494
