domain,feature,feature_class,mean_normalized_gain,sd_normalized_gain,min_normalized_gain,max_normalized_gain,rank
crispron_xiang_luo,k3_ATT,global_kmer_frequency,0.00427197764014,0,0.00427197764014,0.00427197764014,54
crispron_xiang_luo,guide_pos_10_G,spacer_position_one_hot,0.0042559845394,0,0.0042559845394,0.0042559845394,55
crispron_xiang_luo,guide_pos_7_T,spacer_position_one_hot,0.004217787345,0,0.004217787345,0.004217787345,56
crispron_xiang_luo,guide_pos_6_A,spacer_position_one_hot,0.00416255867953,0,0.00416255867953,0.00416255867953,57
crispron_xiang_luo,guide_pos_10_T,spacer_position_one_hot,0.0041420983277,0,0.0041420983277,0.0041420983277,58
crispron_xiang_luo,dinuc_AG,global_dinucleotide_frequency,0.00408714009025,0,0.00408714009025,0.00408714009025,59
crispron_xiang_luo,guide_pos_7_C,spacer_position_one_hot,0.00405652617361,0,0.00405652617361,0.00405652617361,60
crispron_xiang_luo,guide_pos_3_C,spacer_position_one_hot,0.0039799147709,0,0.0039799147709,0.0039799147709,61
crispron_xiang_luo,gc_pam,gc_regional_and_skew,0.00392967132079,0,0.00392967132079,0.00392967132079,62
crispron_xiang_luo,guide_pos_6_G,spacer_position_one_hot,0.0039065393477,0,0.0039065393477,0.0039065393477,63
crispron_xiang_luo,dinuc_TC,global_dinucleotide_frequency,0.00386137970014,0,0.00386137970014,0.00386137970014,64
crispron_xiang_luo,guide_pos_7_G,spacer_position_one_hot,0.00385390935507,0,0.00385390935507,0.00385390935507,65
crispron_xiang_luo,guide_pos_14_C,spacer_position_one_hot,0.00384377868202,0,0.00384377868202,0.00384377868202,66
crispron_xiang_luo,guide_pos_2_A,spacer_position_one_hot,0.00383686598028,0,0.00383686598028,0.00383686598028,67
crispron_xiang_luo,guide_pos_2_C,spacer_position_one_hot,0.00382211361305,0,0.00382211361305,0.00382211361305,68
crispron_xiang_luo,guide_pos_1_G,spacer_position_one_hot,0.00377296896753,0,0.00377296896753,0.00377296896753,69
crispron_xiang_luo,guide_pos_9_C,spacer_position_one_hot,0.00368586611759,0,0.00368586611759,0.00368586611759,70
crispron_xiang_luo,k3_ACG,global_kmer_frequency,0.00366504132891,0,0.00366504132891,0.00366504132891,71
crispron_xiang_luo,guide_pos_12_A,spacer_position_one_hot,0.00365028072065,0,0.00365028072065,0.00365028072065,72
crispron_xiang_luo,guide_pos_5_A,spacer_position_one_hot,0.00363696626131,0,0.00363696626131,0.00363696626131,73
crispron_xiang_luo,guide_pos_11_G,spacer_position_one_hot,0.0035919229039,0,0.0035919229039,0.0035919229039,74
crispron_xiang_luo,guide_pos_4_C,spacer_position_one_hot,0.00356208761239,0,0.00356208761239,0.00356208761239,75
crispron_xiang_luo,guide_pos_16_C,spacer_position_one_hot,0.00350339191323,0,0.00350339191323,0.00350339191323,76
crispron_xiang_luo,dinuc_GG,global_dinucleotide_frequency,0.00349932633626,0,0.00349932633626,0.00349932633626,77
