domain,model,n,prediction_observation_n,mean_residual,median_residual,mae,rmse,spearman,q10,q25,q50,q75,q90,q95
deepspcas9,single_cnn,1526,7630,0.00663905945373,0.00472604811,0.134115907821,0.16903465361,0.631121093489,0.0211324662238,0.0544480347453,0.113260042004,0.191062787081,0.27568170835,0.334992013634
deepspcas9,cnn_d,1526,7630,-0.00173291091037,-0.00211281486841,0.1323127935,0.166012558547,0.649441841858,0.0209551016084,0.0536046406253,0.112170039485,0.187791406238,0.272966889531,0.323003917172
deepspcas9,random_forest,1526,7630,0.00114033101764,0.00149263450202,0.14636586709,0.176656971068,0.641771422511,0.028278971371,0.0663928389931,0.130990499933,0.210876626372,0.285020707882,0.327959644424
deepspcas9,xgboost,1526,7630,0.00199518017771,-0.000204510452209,0.122770208084,0.155012216967,0.708049367626,0.0184877046666,0.0490539292741,0.099341475701,0.181845917004,0.252512874798,0.295156391724
crispron_xiang_luo,single_cnn,1559,7795,-0.623877054943,0.017052828758,13.7969751356,17.2516751243,0.677820155481,2.28994822973,5.79386310742,11.6685760816,19.4762122618,28.0621110091,33.8336383048
crispron_xiang_luo,cnn_d,1559,7795,-1.20571908275,-0.231709871444,13.7365044057,17.1437501823,0.684962436961,2.21192563899,5.65940866036,11.8008265748,19.610144123,27.9295734045,33.4706645784
crispron_xiang_luo,random_forest,1559,7795,-1.244285165,0.372598604539,14.8099675895,17.8802174986,0.681880660195,2.85304859358,6.87552544008,13.4554826871,20.8825844255,28.6364142202,33.8618988337
crispron_xiang_luo,xgboost,1559,7795,-0.958506418293,-0.186787230631,12.154148199,15.5192810962,0.755780639756,1.56513171178,4.60476079596,10.0527948497,17.5158213334,25.0923114338,30.0630820293
